user_id,level,attempt,result,playtime_sec,event_time
U00001,1,1,fail,129,2026-01-05
U00001,1,2,fail,300,2026-01-17
U00001,1,3,fail,116,2026-01-17
U00001,1,4,fail,97,2026-01-02
U00001,1,5,fail,64,2026-01-02
U00001,1,6,fail,261,2026-01-05
U00001,1,7,fail,257,2026-01-15
U00001,1,8,drop,150,2026-01-16
U00002,1,1,fail,186,2026-01-24
U00002,1,2,complete,79,2026-01-06
U00002,2,1,fail,230,2026-01-03
U00002,2,2,fail,44,2026-01-05
U00002,2,3,fail,264,2026-01-07
U00002,2,4,fail,145,2026-01-03
U00002,2,5,complete,303,2026-01-23
U00002,3,1,complete,50,2026-01-07
U00002,4,1,complete,270,2026-01-13
U00002,5,1,complete,88,2026-01-03
U00002,6,1,fail,244,2026-01-05
U00002,6,2,fail,90,2026-01-15
U00002,6,3,fail,261,2026-01-13
U00002,6,4,complete,357,2026-01-01
U00002,7,1,fail,258,2026-01-22
U00002,7,2,complete,170,2026-01-19
U00002,8,1,fail,344,2026-01-16
U00002,8,2,fail,156,2026-01-16
U00002,8,3,complete,298,2026-01-28
U00002,9,1,fail,380,2026-01-04
U00002,9,2,complete,285,2026-01-18
U00002,10,1,fail,362,2026-01-21
U00002,10,2,fail,233,2026-01-03
U00002,10,3,complete,206,2026-01-22
U00003,1,1,fail,335,2026-01-19
U00003,1,2,complete,172,2026-01-05
U00003,2,1,complete,88,2026-01-16
U00003,3,1,complete,143,2026-01-03
U00003,4,1,complete,158,2026-01-24
U00003,5,1,fail,281,2026-01-24
U00003,5,2,complete,277,2026-01-18
U00003,6,1,fail,353,2026-01-01
U00003,6,2,complete,297,2026-01-16
U00003,7,1,fail,293,2026-01-23
U00003,7,2,fail,66,2026-01-15
U00003,7,3,complete,103,2026-01-01
U00003,8,1,complete,306,2026-01-05
U00003,9,1,complete,271,2026-01-15
U00003,10,1,fail,389,2026-01-18
U00003,10,2,fail,355,2026-01-04
U00003,10,3,fail,221,2026-01-16
U00003,10,4,fail,221,2026-01-27
U00003,10,5,complete,159,2026-01-15
U00004,1,1,fail,241,2026-01-28
U00004,1,2,fail,184,2026-01-04
U00004,1,3,fail,61,2026-01-11
U00004,1,4,fail,68,2026-01-23
U00004,1,5,complete,57,2026-01-06
U00004,2,1,fail,212,2026-01-23
U00004,2,2,fail,106,2026-01-23
U00004,2,3,complete,317,2026-01-23
U00004,3,1,fail,164,2026-01-26
U00004,3,2,fail,399,2026-01-23
