session_id,user_id,session_start,session_length_sec
1,U00001,2026-01-11 18:21:00,2804
2,U00001,2026-01-07 00:50:00,984
3,U00001,2026-01-10 07:28:00,1180
4,U00001,2026-01-14 00:33:00,2442
5,U00001,2026-01-14 02:33:00,549
6,U00001,2026-01-08 07:17:00,2465
7,U00001,2026-01-09 22:09:00,567
8,U00001,2026-01-07 17:57:00,535
9,U00001,2026-01-11 16:29:00,1062
10,U00001,2026-01-15 06:40:00,923
11,U00001,2026-01-13 20:30:00,1552
12,U00001,2026-01-11 09:37:00,2422
13,U00001,2026-01-09 01:42:00,1063
14,U00001,2026-01-08 13:25:00,1629
15,U00001,2026-01-08 13:17:00,1658
16,U00001,2026-01-09 07:26:00,2317
17,U00001,2026-01-10 04:08:00,465
18,U00002,2026-01-27 22:38:00,1319
19,U00003,2026-01-31 01:20:00,2480
20,U00003,2026-02-01 02:17:00,2531
21,U00003,2026-01-29 22:33:00,3132
22,U00003,2026-02-01 16:23:00,368
23,U00003,2026-01-30 00:52:00,1773
24,U00003,2026-01-31 01:50:00,1060
25,U00003,2026-02-04 20:06:00,3195
26,U00003,2026-02-03 14:59:00,659
27,U00003,2026-02-01 04:40:00,3566
28,U00003,2026-01-31 11:06:00,392
29,U00004,2026-01-24 17:54:00,1328
30,U00004,2026-01-16 10:03:00,981
31,U00004,2026-01-20 23:48:00,3185
32,U00004,2026-01-15 10:44:00,2580
33,U00004,2026-01-24 17:49:00,2893
34,U00004,2026-01-15 18:21:00,2053
35,U00004,2026-01-23 13:13:00,2596
36,U00004,2026-01-23 03:33:00,2586
37,U00004,2026-01-22 05:49:00,406
38,U00004,2026-01-15 17:29:00,3151
39,U00004,2026-01-15 00:07:00,924
40,U00004,2026-01-17 21:16:00,2015
41,U00004,2026-01-22 12:05:00,825
42,U00004,2026-01-24 00:27:00,2425
43,U00004,2026-01-22 23:29:00,664
44,U00004,2026-01-24 08:45:00,3046
45,U00004,2026-01-22 14:42:00,1330
46,U00004,2026-01-17 15:18:00,3097
47,U00005,2026-01-12 13:25:00,3086
48,U00005,2026-01-13 17:18:00,1515
49,U00005,2026-01-19 08:04:00,2375
50,U00005,2026-01-20 17:42:00,2276
51,U00005,2026-01-11 20:54:00,2433
52,U00005,2026-01-20 02:05:00,3159
53,U00005,2026-01-19 02:24:00,3583
54,U00005,2026-01-19 23:37:00,366
55,U00005,2026-01-19 01:48:00,1469
56,U00005,2026-01-14 01:50:00,1793
57,U00005,2026-01-12 10:22:00,3095
58,U00006,2026-01-17 07:04:00,2960
59,U00006,2026-01-13 11:31:00,1605
60,U00006,2026-01-09 05:14:00,1176
61,U00006,2026-01-13 23:20:00,1612
62,U00006,2026-01-12 11:01:00,2624
63,U00006,2026-01-13 10:23:00,2863
64,U00006,2026-01-15 13:42:00,1460
65,U00006,2026-01-14 14:58:00,542
66,U00006,2026-01-15 03:48:00,2895
67,U00006,2026-01-15 20:46:00,305
68,U00006,2026-01-09 07:47:00,2055
69,U00006,2026-01-11 10:45:00,417
70,U00006,2026-01-08 08:23:00,2321
71,U00006,2026-01-10 09:33:00,1764
72,U00006,2026-01-09 14:06:00,3062
73,U00006,2026-01-15 17:29:00,1758
74,U00006,2026-01-12 05:25:00,1733
75,U00006,2026-01-13 13:55:00,2110
76,U00006,2026-01-11 03:44:00,831
77,U00007,2026-01-29 01:29:00,953
78,U00007,2026-02-03 02:18:00,3192
79,U00007,2026-01-31 15:01:00,989
80,U00007,2026-02-05 00:09:00,560
81,U00007,2026-02-04 02:51:00,3245
82,U00007,2026-02-05 05:20:00,1642
